Samples	78_15	89_39	29_8	53_51	37_4	67_56	39_61	83_1	20_14	12_40	9_52	47_54	30_70	75_75	15_9	79_11	42_49	95_64	38_68	34_69	27_28	2_3	94_7	24_10	90_45	70_13	44_59	54_66	7_72	28_47	4_19	77_5	50_20	84_32	64_43	43_48	14_22	25_55	40_74	17_57	32_58	23_60	73_67	93_73
Adenosine	0.5573448	0.8623071	0.3503429	0.1869082	0.4474434	1.3122786	0.2735426	0.1120161	1.5366914	0.3095777	1.1546472	0.4544539	0.2823131	0.2678816	0.1268862	1.6474428	1.1754551	1.118772	1.0037356	1.6166569	0.9241333	1.2080019	1.3281923	1.4333566	2.4087212	1.8478474	2.1258214	2.2237878	0.6594626	0.4606415	1.641854	2.7929183	0.7976237	1.4246146	0.4498227	0.3711215	0.7835421	1.2056928	0.9420833	0.8171196	1.9161854	2.0142018	0.6104145	0.8689744
ADMA	2.0368073	1.7241608	1.4180038	0.9936597	2.1098259	0.9637883	0.6351408	0.7006465	0.87801	0.6446514	0.9459697	0.6636255	1.0404478	0.3856898	0.5572919	1.0082239	0.4989564	1.4166095	0.7492001	0.844189	0.5038318	1.6195957	1.5435043	1.5758776	2.1622039	1.5040961	1.3175221	2.1632902	0.8060718	0.7029388	2.0750518	6.866584	0.8726612	1.6267013	0.6446869	0.6876588	0.6466244	1.2143662	0.6875743	0.517837	1.6490535	1.5506974	0.6502616	1.1829426
α-keto-δ-NG-NG-dimethylguanidino-valeric-acid	1.892607	0.2732481	1.0381591	0.36313	1.340507	0.4265868	0.4555169	0.9612715	0.2209333	0.8849007	0.3227679	0.4260229	0.5757471	0.2310228	0.2117163	0.5706773	0.3615976	0.8778519	0.2781131	0.311296	1.9299959	0.4326131	0.65984	0.5295512	5.4142325	0.8380336	2.0661396	0.9423237	0.4525717	1.751622	1.5874644	16.4413392	0.6578423	0.4834374	2.2158844	0.7979534	0.8153247	1.1555075	0.6906672	1.745993	0.8491515	2.2241345	0.7017909	2.4496618
Anserine	0.146331	1.1239587	2.153319	0.2315036	1.8920328	2.0193009	1.1488232	1.194923	0.6236253	0.2827357	1.0176398	0.4735418	1.1127572	0.1461208	0.1613543	1.064491	0.7054297	2.1729123	0.4033921	1.4638204	1.0321012	0.6717723	1.0339792	3.2975269	2.9770212	1.8323674	1.3916931	9.4893637	0.654443	0.6909948	0.7759631	0.7757884	1.6583554	1.3666503	0.4879998	0.4347321	1.0852287	0.8156296	0.7051102	0.612223	0.9698273	0.6831106	1.2606797	1.8324202
beta-Alanine	1.6191625	1.3495245	0.7033488	0.6190257	1.3491933	0.8341115	0.9105928	0.9973747	0.8406507	1.1099997	0.9991085	0.8866294	0.8221146	1.1067263	0.8880769	1.1772324	1.319897	1.1065244	1.3621807	1.125864	0.5496322	0.8572417	0.7355307	1.2061055	1.5702158	0.6962315	1.0126345	1.0115209	0.7584494	0.8182337	1.2607002	1.1163092	1.0208017	1.0293849	0.7997558	0.9130306	0.7666728	0.4645137	0.9776406	0.9456743	1.3850883	0.8113771	0.790194	0.5721587
Betaine	0.5740856	0.7050325	1.033066	1.0741655	0.9945073	0.9945341	1.0985354	0.9681979	0.9395612	1.1659251	0.9913505	0.8989329	1.1131153	0.9439325	1.2254046	0.8899482	1.1041381	1.0330258	1.0020479	1.131996	1.1498461	0.9367073	0.9129058	0.7335663	0.8283174	0.9613318	0.7476393	0.8483343	0.9990657	1.1495208	0.7216638	0.7520869	0.9963586	0.8874571	1.1080579	1.1221256	1.0740318	1.1018316	1.1417301	1.080752	0.9563452	1.0507887	1.1697344	1.0824735
Butyrlcarnitine	1.323674	1.4290795	1.1269374	0.9324512	1.1985097	1.1808908	0.9632632	0.9956367	1.1295949	1.0435939	0.9492907	0.8996084	1.0685737	1.0495467	1.0987877	0.9868393	0.8702372	1.0514127	0.8788859	0.9654397	0.6488003	1.0007093	1.0279152	1.1914357	0.957724	1.1145303	0.9941606	1.0433918	0.9453104	0.7524071	1.0558641	1.115205	1.0192652	0.9423609	0.7409861	0.6460208	0.8098495	0.9957052	0.8143604	0.8415883	0.9439128	0.9040268	0.6709186	0.7400888
Carnosine	0.9419032	1.0913652	1.4346615	0.9794141	1.2933063	0.9691475	0.8547158	0.4889497	0.4112388	0.723812	0.4873897	0.3478604	0.5509944	0.1681427	0.1533308	1.3868799	2.1145253	4.3408239	0.2541459	1.1341319	3.0002387	1.0157392	0.811179	0.9832089	1.6910088	1.6464745	0.6972055	1.8073425	0.6039949	1.5892477	1.2610283	6.5948025	0.6654532	1.9071027	0.4525717	0.6975009	0.6076608	0.7794494	2.3235452	0.5991313	0.6466259	2.1523213	0.4279519	1.724719
Choline	1.4334607	1.6348101	0.2814418	0.9231017	0.221534	0.5335372	0.2154693	0.4491901	0.7070532	0.2242665	0.3683021	0.3142183	0.2719232	0.4152381	5.746582	0.7910036	0.6711137	1.7479392	0.8043581	0.6970688	0.8885617	1.4149238	1.0250835	1.1745585	2.3009931	2.2807947	1.4489763	1.5341879	1.0532119	1.0124301	1.5323812	1.2920446	1.3372821	1.3766152	0.7004001	0.5204674	0.7397646	1.0772807	0.995387	0.5998657	1.0075205	1.0574484	0.6030372	1.1302978
Citrulline	0.757187	0.5492498	0.4896493	0.6914591	0.3838823	0.3037367	0.4872094	1.2882404	0.4099955	0.8409086	0.9870785	0.2724562	0.3190377	0.2353141	0.31214	0.6862927	1.3034057	1.5732521	1.4308068	0.8704687	0.9960329	2.9527859	0.8021629	8.75551	2.6834905	1.8015546	1.1264332	1.9389595	0.5355111	1.0686386	0.2992554	1.5093026	1.2942453	2.3557116	1.5461809	0.901536	0.7593887	1.6024733	0.5724066	0.6148276	1.1820696	0.9506581	2.3015952	0.7991802
Creatine	1.062688	0.7911668	1.1065295	1.0293161	1.001328	0.9527732	1.1891656	1.1313599	1.1255729	1.0427713	0.9935445	1.1719976	1.0827004	1.0760109	1.2683141	0.9624282	1.0831256	1.1648558	1.0759742	1.0494649	1.0834579	1.2676428	1.0493113	0.9278012	0.9319813	0.9308301	1.1156499	0.9054364	1.0878407	1.1305708	0.8058952	0.9122923	0.9631389	0.7772823	1.1367705	1.4732243	1.2505089	0.9538032	1.2117077	0.8766516	0.9280057	0.8613221	1.2244658	0.8413314
