Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Cohort]	Term Source REF	Term Accession Number
PN-19	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PN-19	HF without depression (HF-NDS)		
PN-20	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PN-20	HF without depression (HF-NDS)		
RN-1	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	RN-1	HF without depression (HF-NDS)		
RN-3	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	RN-3	HF without depression (HF-NDS)		
RN-4	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	RN-4	HF without depression (HF-NDS)		
RN-5	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	RN-5	HF without depression (HF-NDS)		
RN-6	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	RN-6	HF without depression (HF-NDS)		
RN-7	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	RN-7	HF without depression (HF-NDS)		
RN-8	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	RN-8	HF without depression (HF-NDS)		
RN-10	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	RN-10	HF without depression (HF-NDS)		
RN-12	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	RN-12	HF without depression (HF-NDS)		
RN-13	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	RN-13	HF without depression (HF-NDS)		
RN-14	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	RN-14	HF without depression (HF-NDS)		
RN-15	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	RN-15	HF without depression (HF-NDS)		
RN-16	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	RN-16	HF without depression (HF-NDS)		
RN-17	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	RN-17	HF without depression (HF-NDS)		
RN-18	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	RN-18	HF without depression (HF-NDS)		
RN-19	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	RN-19	HF without depression (HF-NDS)		
RN-20	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	RN-20	HF without depression (HF-NDS)		
