heart_cond	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF
studyID	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2
sampleID	C10	C10	C11	C11	C14	C14	C15	C15	C16	C16	C18	C18	C19	C19	C20	C20	C21	C21	C22	C22	C23	C23	C24	C24	HF01	HF01	HF02	HF02	HF03	HF03	HF04	HF04	HF05	HF05	HF06	HF06	HF07	HF07	HF09	HF09	HF12	HF12	HF13	HF13	HF17	HF17
studyID	D2_SALIVA	D2_EBC	D2_EBC	D2_SALIVA	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_EBC	D2_SALIVA	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_SALIVA	D2_EBC	D2_EBC	D2_SALIVA
Acetate	 3781.0	   69.4	  201.4	 8567.6	 1756.7	  203.1	 1925.6	   40.1	 4130.0	  183.7	 3307.2	  290.8	 2036.9	   55.8	 2330.9	   33.4	  619.0	  199.4	  842.9	  152.5	  849.2	  132.3	  168.6	 4779.8	 5534.4	   73.8	14386.1	  193.8	 1967.4	   47.7	 1769.6	  123.9	 3156.7	  142.2	 2462.4	   80.6	11955.4	   64.2	   67.7	 3265.4	   57.6	 2291.0	  383.1	   19.6	  179.7	 4721.5
Glycine	118.5	  0.0	  0.0	 94.9	 37.1	  0.0	 31.1	  0.0	 96.3	  0.0	 91.9	  0.0	 37.7	  0.0	 34.1	  0.0	 20.9	  0.0	 28.6	  0.0	 36.6	  0.0	  0.0	303.1	 97.6	  0.0	492.8	  0.0	 66.0	  0.0	 58.3	  0.0	 82.0	  0.0	 45.9	  0.0	162.3	  0.0	  0.0	218.9	  0.0	 35.8	 60.5	  0.0	  0.0	122.7
Glucose	  75.4	   0.0	   0.0	   0.0	  29.7	   0.0	  33.6	   0.0	 112.5	   0.0	  34.4	   0.0	  19.5	   0.0	  56.4	   0.0	  46.5	   0.0	 196.1	   0.0	 124.3	   0.0	   0.0	  92.7	   0.0	   0.0	  38.2	   0.0	 101.2	   0.0	 192.0	   0.0	 119.4	   0.0	 131.2	   0.0	 325.6	   0.0	   0.0	1152.0	   0.0	   0.0	 105.6	   0.0	   0.0	  43.7
Urea	330.6	  0.0	  0.0	361.1	423.5	  0.0	316.0	  0.0	452.4	  0.0	429.6	  0.0	100.1	  0.0	461.5	  0.0	  0.0	  0.0	344.9	  0.0	766.4	  0.0	  0.0	415.8	  0.0	  0.0	409.5	  0.0	974.3	  0.0	380.1	  0.0	270.1	  0.0	690.5	  0.0	449.6	  0.0	  0.0	966.1	  0.0	361.9	750.5	  0.0	  0.0	709.0
O-Phosphoethanolamine	121.8	  0.0	  0.0	 44.8	 97.1	  0.0	 68.5	  0.0	 85.0	  0.0	 86.1	  0.0	 55.8	  0.0	116.6	  0.0	106.2	  0.0	 78.4	  0.0	308.0	  0.0	  0.0	 60.2	 18.2	  0.0	 95.4	  0.0	130.6	  0.0	312.7	  0.0	 76.5	  0.0	292.1	  0.0	 55.8	  0.0	  0.0	265.4	  0.0	 83.1	127.3	  0.0	  0.0	409.5
5-Aminopentanoate	138.1	  0.0	  0.0	208.7	 48.7	  0.0	147.4	  0.0	 36.0	  0.0	190.9	  0.0	 74.8	  0.0	 73.7	  0.0	 12.1	  0.0	 39.1	  0.0	 20.6	  0.0	  0.0	297.6	232.1	  0.0	469.2	  0.0	 22.8	  0.0	 18.2	  0.0	224.4	  0.0	122.9	  0.0	369.3	  0.0	  0.0	 33.6	  0.0	 11.0	 32.2	  0.0	  0.0	  0.0
Taurine	176.3	  0.0	  0.0	166.4	 51.2	  0.0	 35.5	  0.0	245.0	  0.0	 60.8	  0.0	 44.8	  0.0	 53.6	  0.0	 61.9	  0.0	 41.0	  0.0	 78.7	  0.0	  0.0	285.7	 76.2	  0.0	194.7	  0.0	 95.2	  0.0	175.5	  0.0	 98.7	  0.0	 51.4	  0.0	284.1	  0.0	  0.0	 94.1	  0.0	 78.7	126.2	  0.0	  0.0	110.0
Propionate	 471.9	   0.0	  55.8	1574.9	 172.4	  54.7	 269.2	   5.1	 484.3	  17.9	 467.2	  43.7	 162.0	   7.2	 347.6	   0.0	  74.0	  26.1	  91.9	  17.0	 133.7	  21.5	  22.6	 576.1	1053.8	  12.1	2025.7	  43.8	 147.4	   4.2	 244.2	   8.3	 492.8	  15.4	 485.1	  14.7	2614.2	   4.8	  14.1	 507.7	   7.9	 209.0	   9.6	   0.0	   0.0	  19.8
Isoleucine	 0.0	 0.0	 0.0	 6.6	 0.0	 0.0	 0.0	 0.0	 5.8	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	13.2	11.3	 0.0	19.5	 0.0	 0.0	 0.0	 0.0	 0.0	 6.6	 0.0	 0.0	 0.0	 8.0	 0.0	 0.0	 9.6	 0.0	 0.0	 0.0	 0.0	 0.0	37.4
Valine	 0.0	 0.0	 0.0	10.2	 0.0	 0.0	 7.7	 0.0	12.1	 0.0	 0.0	 0.0	 6.6	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	 0.0	26.4	27.0	 0.0	18.4	 0.0	 0.0	 0.0	 0.0	 0.0	11.8	 0.0	 0.0	 0.0	22.0	 0.0	 0.0	11.8	 0.0	 0.0	 7.7	 0.0	 0.0	30.3
