Sample	Ctrl1	Ctrl2	Ctrl3	Ctrl4	Ctrl5	STEMIT1-1	STEMIT1-2	STEMIT1-3	STEMIT1-4	STEMIT1-5	STEMIT1-6	STEMIT1-7	STEMIT1-8	STEMIT1-9	STEMIT1-10	STEMIT2-1	STEMIT2-2	STEMIT2-3	STEMIT2-4	STEMIT2-5	STEMIT2-6	STEMIT2-7	STEMIT2-8	STEMIT2-9	STEMIT2-10
Label	Ctrl	Ctrl	Ctrl	Ctrl	Ctrl	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2
L-Myristoylcarnitine	18427.08452	13898.92476	16685.80551	55542.0696	85103.62822	76310.43037	12386.13435	3260.779303	20911.37678	13155.9993	26147.49319	11393.39191	13327.20621	24924.96302	14744.77374	53457.72589	21549.22328	7137.224229	23074.0493	28615.00239	4892.876081	67232.19886	20318.1807	14307.05775	39918.9741
3-Hydroxydodecanoyl-L-carnitine	1563.100124	1717.009748	0	0	0	3456.265971	0	714.881676	0	0	0	0	3581.819482	1508.129447	0	0	0	868.8010784	0	668.1252563	1244.439274	0	1124.362256	0	1928.661333
Tetradecadienoyl-L-carnitine	37335.16625	14553.6658	6948.955557	22082.76984	13341.81773	110561.644	43923.70193	10813.27542	61009.23552	13514.50405	35018.39122	5519.321027	74637.00995	27354.1731	17199.69877	25519.01054	12152.83282	12837.96543	19188.34987	6983.381298	39113.6207	6262.147309	27212.85669	11748.51563	33421.01563
Tetradecenoyl-L-carnitine	48841.03721	21961.08332	7501.589097	32822.32189	19676.4646	97731.25186	63847.21435	11203.30499	82316.21416	15080.26909	42636.45692	6919.702668	88177.45229	26603.12292	23000.64859	39787.19955	16816.06704	17195.04658	21346.27439	10286.15437	48614.80362	8736.590062	25734.57462	12429.03634	36862.59965
Tetradecanoyl-L-carnitine	18595.06541	17361.6065	6823.363584	13481.56838	9682.172637	29134.50208	17919.52281	8838.891829	37757.48791	12058.96012	13288.10731	3931.597877	32687.49041	14031.06771	11716.3903	9841.651842	12460.1204	9006.994469	19185.88862	17775.3729	12399.90988	7177.40526	12659.92592	5626.725848	15368.78406
S-Adenosyl-L-homocysteine	0	1331.437355	1225.546881	0	0	842.8994409	0	0	0	0	1061.196891	0	0	0	0	0	0	0	0	824.3793996	717.9761284	0	0	0	1018.949145
3-Hydroxytetradecenoylcarnitine	1251.357494	3103.402502	923.1848706	0	1284.438014	4719.525532	1495.448637	0	1423.010139	1351.36639	3927.004018	911.1905277	3885.663949	2012.315037	0	1408.791086	1650.114746	1440.974186	2716.639096	4046.867336	1345.609046	0	2137.570048	1926.581756	5417.130957
3-Hydroxytetradecanolycarnitine	2477.483911	3244.377777	0	1805.068372	0	2062.686556	1407.233656	924.5421413	1730.415451	1557.454765	1337.41008	0	4226.325752	2178.847931	1075.633723	1453.982163	0	1230.892752	0	1087.815158	1626.939775	0	1667.022917	0	2222.12695
Hexadecenoyl-L-carnitine	15219.39578	7168.602101	0	9198.357145	7775.410614	23746.02865	23886.49448	9481.538221	42011.14479	22730.36983	15098.41136	3926.739011	33840.87563	29523.04251	14340.08709	12668.22658	10250.13539	6697.584453	14367.2653	11932.39165	14934.24039	5693.950967	10276.05532	5698.476739	14371.10135
Hexadecanoyl-L-carnitine	145117.4172	123016.0384	32837.8465	80072.27251	93547.19825	88403.17421	108145.987	65439.00755	230094.6925	78190.92053	89586.43884	48171.31	148393.128	108450.6288	75278.54827	113260.0786	109303.726	74026.78326	178522.8908	97530.66809	72804.60613	88710.05646	82486.98682	48325.58567	107826.6953
Decadienylcarnitine	79054.87064	60610.48692	25237.19044	67650.20287	63218.20686	76068.21727	77031.24421	64195.88495	179998.0461	135302.7087	105354.2495	42806.60383	126105.7865	102457.2416	69419.65313	180293.2759	110746.7155	82699.15213	252602.1082	171829.9955	59573.66772	59783.1834	115321.1674	39365.56187	132572.5781
Oleyl-L-carnitine	118906.2513	82584.0312	23655.95041	82937.57904	77368.95407	84485.1289	105548.0071	85164.93355	263831.8646	169607.2515	124848.817	52016.12814	200595.2794	174286.7719	104157.3816	229253.0914	155279.6313	86204.09276	306294.5772	177931.5545	79934.95508	71782.98874	118785.4068	47162.41895	129509.7969
Stearoyl-L-carnitine	49084.68655	48864.11588	10562.60938	26940.75596	29644.45943	15028.80504	25393.44426	23235.99615	53457.04988	25567.43839	27592.00105	17764.39751	46057.55257	22523.92456	22005.7053	29758.2343	26452.39227	22074.71778	47597.71081	28922.99722	23195.20697	30675.23417	22770.17182	12720.06349	25921.67578
Eicosadienoyl-L-carnitine	4562.350442	3430.046989	0	2901.734393	3813.69685	3424.576741	5865.668478	3959.935984	9697.589482	7118.350468	6185.742834	2618.495409	7670.895256	4010.435392	4952.945536	10249.9241	6701.073635	5077.992744	10080.98809	8519.77884	3309.47156	3882.002485	6032.488048	2256.234764	6807.770446
Eicosenoyl-L-carnitine	5185.017785	4287.095409	907.6382083	5171.098605	4750.809562	3776.825967	6552.960363	4622.789411	11776.27916	8957.064387	7552.07165	2209.018056	9879.093125	4083.433046	4200.398917	7909.780316	5442.636481	3058.02178	10182.10681	33032.81146	3953.985193	5139.252585	4713.959866	2689.2235	5929.580143
Icosanoylcarnitine	3309.136355	4349.655107	1580.697683	2928.234721	2094.0456	1616.763136	3968.536611	2631.171522	2856.07037	1977.152387	2205.360543	1428.758496	3570.096141	1234.813159	1633.388138	2396.291706	2450.306846	1876.698971	2361.581029	0	1544.340426	2585.348494	2017.954892	1389.689952	1927.664318
Glycocholate	1976.111061	4968.964513	5629.34885	15055.03622	1686.455834	0	3338.357932	3913.891275	3551.174166	11600.42822	14375.47627	3581.069078	0	7278.032882	2277.129765	3210.371408	12482.60667	2717.490196	7678.67253	0	2026.607653	2369.279662	1738.917911	7454.504758	3333.949069
Trimethylamine	0	0	0	0	0	1787.027497	0	1078.370265	0	0	0	0	0	0	0	1651.128648	1511.999591	0	0	0	0	0	1346.860364	0	0
Trimethylamine N-oxide	0	0	0	2511.837541	0	5276.296159	0	0	0	0	0	0	0	0	0	0	0	0	0	3589.235813	0	0	0	0	1061.982895
Adenine	0	0	0	0	0	1828.307172	0	0	0	0	0	0	0	2433.208465	0	0	0	0	2367.962792	0	0	0	0	0	0
Allantoin	0	0	0	0	0	2694.685305	3432.375111	4795.101451	3995.547168	5224.188264	0	0	4356.793668	4789.614323	5177.849117	3169.895326	3777.040219	0	5448.362551	2746.114748	0	0	0	0	0
